youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
Justin Bieber - Forever (feat. Post Malone & Clever)(Audio),Justin Bieber,2020-02-14T05:00:47Z,39136094,490161,https://www.youtube.com/watch?v=ZdRfOV5XNNE,Justin Bieber
[STATION : NCT LAB] JAEHYUN 재현 'Forever Only' MV,SMTOWN,2022-08-18T09:00:30Z,13296106,614154,https://www.youtube.com/watch?v=WOuGFam9Lg8,SMTOWN
건망증 (with 김사월),RM - Topic,2022-12-02T05:04:03Z,3731926,162450,https://www.youtube.com/watch?v=cmJbVPTFtYg,RM - Topic
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,2024-04-20T00:00:06Z,133011647,2039385,https://www.youtube.com/watch?v=q3zqJs7JUCQ,Taylor Swift
TAEYEON 태연 '사계 (Four Seasons)' MV,SMTOWN,2019-03-22T09:00:02Z,44849622,912609,https://www.youtube.com/watch?v=4HG_CJzyX6A,SMTOWN
MARK 마크 '프락치 (Fraktsiya) (Feat. 이영지)' MV,SMTOWN,2024-12-16T09:00:34Z,3112134,282191,https://www.youtube.com/watch?v=_GS3nQQex1g,SMTOWN
"Tyga, Doja Cat - Freaky Deaky (Official Video)",TygaVEVO,2022-02-25T05:00:10Z,94663857,956215,https://www.youtube.com/watch?v=5ZHXYnGVlcg,TygaVEVO
NCT U 엔시티 유 'From Home' MV,SMTOWN,2020-10-19T09:00:15Z,72993754,2006480,https://www.youtube.com/watch?v=3p7s7Rjh4fg,SMTOWN
From Home (Korean Version),NCT - Topic,2020-10-12T09:02:59Z,1082985,15887,https://www.youtube.com/watch?v=XXZoZq1JP0I,NCT - Topic
j-hope 'Future' Visualizer,BANGTANTV,2022-07-21T04:00:02Z,1749670,270226,https://www.youtube.com/watch?v=Fh2PTrTaxv0,BANGTANTV
ENHYPEN (엔하이픈) 'Future Perfect (Pass the MIC)' Official MV,HYBE LABELS,2022-07-04T08:55:09Z,48655256,1937346,https://www.youtube.com/watch?v=QMlNLo74mOw,HYBE LABELS
"TREASURE performs ""G.O.A.T (RAP Unit) feat. LEE YOUNG HYUN"" LIVE on Wish 107.5 Bus",Wish 107.5,2024-06-08T13:00:15Z,864279,64796,https://www.youtube.com/watch?v=A83QjKzjMhY,Wish 107.5
