track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
Extraordinary,19497559,Anatomy Rabbit,spotify:track:79yQQnouyRz6n9TEKxbHM5,Anatomy Rabbit,1,85,-1,205
FAKE LOVE,8520820,BTS,spotify:track:6m1TWFMeon7ai9XLOzdbiR,BIGHIT MUSIC,1,8,-1,87
FEARLESS,212858,LE SSERAFIM,spotify:track:296nXCOv97WJNRWzIBQnoj,SOURCE MUSIC,8,165,191,35
FEAT,361801,PiXXiE,spotify:track:5oa8CjmEAboPvZdtEM6W7w,LIT ENTERTAINMENT,183,183,-1,2
FIRE BOY,9993948,PP Krit,spotify:track:14XYtNNyCUGtG9quMgazIS,PP Krit Entertainment,2,6,-1,45
FLOWER,44546713,JISOO,spotify:track:69CrOS7vEHIrhC2ILyEi0s,YG Entertainment,1,1,-1,69
FOREVER,2717805,BABYMONSTER,spotify:track:47QP509sXnE54NwhzoMHAi,YG Entertainment,51,51,-1,9
FRI(END)S,34002214,V,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,BIGHIT MUSIC,1,1,-1,32
Face-off,480223,Jimin,spotify:track:3OdIiWnYRHPYtC313Z0Bwy,BIGHIT MUSIC,61,61,-1,2
Fact Check,6667313,NCT 127,spotify:track:5EtiQveQFQy0R05hLVDyKv,SM Entertainment,4,4,-1,11
Fall in Love,12991974,ARMOR,spotify:track:45dtFcaOs4lBf8gXAAoN8W,Real_Armor,24,24,-1,46
Fatal Trouble,547481,ENHYPEN,spotify:track:6i1PYoUEMHqxAsAUKHkqpe,BELIFT LAB,80,80,-1,2
Feather,726713,Sabrina Carpenter,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Island Records,159,159,-1,3
Flower,170252,"Saran, 2K",spotify:track:1kVLTBPnyHuBc3jVZccV6C,SARAN,144,144,-1,1
Flowers,5626367,Miley Cyrus,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Columbia,20,20,-1,22
For Us,635282,V,spotify:track:4HAOgAnILvXCbSODMoRnmD,BIGHIT MUSIC,66,66,-1,3
Fortnight (feat. Post Malone),5113448,"Taylor Swift, Post Malone",spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Taylor Swift,17,17,-1,15
Fraktsiya,591083,"MARK, Lee Young Ji",spotify:track:6m66Qk7oHVwSNQIvdoul4E,SM Entertainment,113,113,-1,2
Future,216726,j-hope,spotify:track:0Puudh380z6cOCgMaTNm7h,BIGHIT MUSIC,56,73,-1,3
G.O.A.T (RAP Unit) feat. LEE YOUNG HYUN,165555,"TREASURE, 이영현",spotify:track:0lLD9aBNkalOeNO2VjC0XA,YG Entertainment,150,150,-1,1
GGUM,274477,YEONJUN,spotify:track:1QPV3QoWw3rRKPeYoX8kO8,Republic Records - TXT,106,106,-1,1
GHOST,256815,BamBam,spotify:track:3TQqMPOcfzwCTr9nVvbrgi,Abyss Company,151,151,-1,2
GODS,340252,"League of Legends, NewJeans",spotify:track:210JJAa9nJOgNa0YNrsT5g,Riot Games,95,95,-1,2
GOOD BYE,441052,2T FLOW,spotify:track:4kLKToezqxaLF9kJQJ30Pt,2T FLOW,182,182,-1,2
Galaxy (feat. Kob The X Factor),6368504,"D Gerrard, Kob The X Factor",spotify:track:7m4O2ffb7Amnk1tQGKeLEH,WM/Thailand,21,62,-1,84
Get Up,820648,NewJeans,spotify:track:1wUnuiXMMvhudmzvcCtlZP,ADOR,29,29,-1,3
Give Me That - Korean Version,1151119,WayV,spotify:track:4Ta60nUTt3W1JU0AxctPyG,LABEL V,127,127,-1,5
Glimpse of Us,1317013,Joji,spotify:track:4ewazQLXFTDC8XvCbhvtXs,88rising Music,3,107,97,39
Golden Hour,3676668,Billkin,spotify:track:72Jc8BV2cEQAOuVoHVTJy3,Billkin Entertainment,31,31,-1,10
Gone,2328051,ROSÉ,spotify:track:2dHoVW9AxJVSRebPRyV2aA,YG Entertainment,3,77,-1,88
Good Care,261173,"HYBS, slchld, asiatic.wav",spotify:track:1argqjqP7b6GjGfAGiBlF8,Warner Music Regional Asia,127,127,-1,2
"Good Luck, Babe!",2367076,Chappell Roan,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan PS/ Island,151,151,-1,11
Goodbye,25109126,PUN,spotify:track:2kpVbauiG7Tcue6kZPKYNG,Universal Music (Thailand) Ltd.,10,10,-1,50
Guilty as Sin?,179577,Taylor Swift,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,165,165,-1,1
HELLO,935386,TREASURE,spotify:track:1ex8euBuzVyqjThnYfwY2k,YG Entertainment,4,4,-1,10
HEY HEY (feat. อาภาพร นครสวรรค์),153948,"MILLI, อาภาพร นครสวรรค์",spotify:track:2TJTtCcuOikQ0jSKrtswHI,Yupp! Entertainment/88rising Music,183,183,-1,1
HIT ME UP,6845526,Timethai,spotify:track:73xl0PVvIuupGteaEIna8W,Timethai,22,22,-1,20
HUH?! (feat. j-hope),670807,"Agust D, j-hope",spotify:track:6XrPzwKeGzEvtan3acn7VH,BIGHIT MUSIC,22,22,-1,2
Haegeum,55335093,Agust D,spotify:track:4bjN59DRXFRxBE1g5ne6B1,BIGHIT MUSIC,1,1,-1,90
Hard to Love,1364814,BLACKPINK,spotify:track:3MJhPqL2IgGs7gHEB2M35q,YG Entertainment,7,120,-1,22
