track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
Locker,235998,LUSS,spotify:track:43rGeSTINiWovwNPiQGAXl,WM/Thailand,51,51,-1,2,75,C#,Minor,73,86,66,28,0,25,48
London Boy,57304,Taylor Swift,spotify:track:1LLXZFeAHK9R4xUramtUKw,Taylor Swift,99,99,-1,1,158,C#,Major,70,56,71,2,0,13,5
Lonely,186740,RM,spotify:track:50y0OQgar3BnwTt1pXdYsM,BIGHIT MUSIC,99,99,-1,1,114,B,Minor,79,67,58,17,0,8,4
Lonely (with Jonas Brothers),189454,"Diplo, Jonas Brothers",spotify:track:4fwo6czG5nvOQMzhOto1ya,Columbia,152,152,-1,4,98,C#,Major,74,53,72,6,0,21,6
Lonely (with benny blanco),1668852,"Justin Bieber, benny blanco",spotify:track:4y4spB9m0Q6026KfkAvy9Q,Friends Keep Secrets/Def Jam Recordings/Interscope Records,35,35,-1,16,79,B,Minor,62,7,24,90,0,12,5
Long Flight,134028,TAEYONG,spotify:track:4hHRHdPzKTpobGyyW9ipNg,SM Entertainment,45,45,-1,2,148,F,Minor,69,88,86,20,0,13,5
Look At Her Now,364924,Selena Gomez,spotify:track:4yI3HpbSFSgFZtJP2kDe5m,Interscope Records,71,71,-1,6,77,A#,Minor,75,55,56,11,3,36,25
Look Back at It,164437,A Boogie Wit da Hoodie,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,Highbridge the Label / Atlantic Records,115,115,-1,6,96,D#,Minor,79,54,59,41,0,15,4
Loop (ฉันจึงวนกลับมา),8346550,ASIA7,spotify:track:0Fye2qtgBqOzHxb4cPSjWb,GMM Music Public Company Limited,24,24,-1,20,98,G#,Major,60,48,75,32,0,10,3
Lose Somebody,442237,"Kygo, OneRepublic",spotify:track:1sgDyuLooyvEML4oHspNza,Kygo,79,79,-1,7,148,C#,Major,58,51,59,34,0,8,4
Lose You To Love Me,1362897,Selena Gomez,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,Interscope Records,24,24,-1,16,103,E,Major,49,10,34,56,0,21,4
Lost,229320,Maroon 5,spotify:track:18XlJEroUwFo0tLZxscgXE,Interscope Records*,76,76,-1,3,143,G,Minor,77,77,71,22,0,6,16
Lost Cause,477004,Billie Eilish,spotify:track:2xdwCJLfKCkat14mlgR26M,Darkroom/Interscope Records,31,31,-1,5,75,A#,Minor,53,52,33,70,1,6,25
Lost In Japan,652947,Shawn Mendes,spotify:track:79esEXlqqmq0GPz0xQSZTV,Island Records,39,118,-1,36,105,A#,Major,71,42,74,26,0,11,37
Lost Jigsaw,2870322,"guncharlie, Upim LANDOKMAI",spotify:track:6pgpclADmpoVhW9ZQazx6T,Kicks Records,104,104,-1,18,85,B,Major,59,26,32,62,0,14,3
