track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
เธอไม่ชอบเด็ก ก.ท. เธอชอบแต่เด็กอัสสัมชัญ,1712391,Kakagoesbackhome,spotify:track:1jan7lM5FsAiDDTNUVUNec,PAPATOY14Floor,92,92,-1,10
เธอไม่ได้สอนให้ฉันอยู่คนเดียว,30247491,SHERRY,spotify:track:5LEp7WRnb0T3L2R2mTa9IZ,Spicy Disc,12,12,-1,91
เปงเคียด,162000,"Wonderframe, Spidermei",spotify:track:75NnVh9EvW4A2JGfLE630e,Unicorn Records,71,71,-1,2
เปรตป่ะ,936060,TangBadVoice,spotify:track:6RDL0W5M6rbg73l1A72y2u,TangBadVoice,13,13,-1,8
เปลี่ยนไปแต่เหมือนเดิม (Changed),1541969,AYLA's,spotify:track:69nkOVHSHgN2AyZRXHfAeD,WM/Thailand,71,71,-1,8
เปิดตัวเขา (Rebound),12725766,Three Man Down,spotify:track:5Enhznqe9ksHne2KSNMpen,GMM Music Public Company Limited,9,9,-1,48
เปิดเพลงไหน เปิดเมื่อไหร่ ก็ยังสวยงาม,949258,Tattoo Colour,spotify:track:1v7RbmAqVN9owqISrwN2jG,Smallroom,75,75,-1,10
เปิดใจไม่เปิดตัว (KEEP IT LOW KEY),869805,Timethai,spotify:track:6T5SvgNkUWQU6qxBfWyN2H,Timethai,159,159,-1,6
เปียก,27017,"Bang Bang Bang, Grace",spotify:track:7wlvBA5FUi2pmGdI16CZuV,Thaitanium Entertainment,161,161,-1,1
เป็นทุกอย่าง,3089213,Room 39,spotify:track:0lQWN4uo1PCdzrxEZJM95P,LOVEiS Entertainment,33,93,-1,135
เป็นอดีต,2814539,MEAN Band,spotify:track:6OJ10ZEgo5ZyBHZE72eD7x,LOVEiS Entertainment,23,93,-1,70
เป็นเพราะฝน,5292102,Polycat,spotify:track:7K41SevJ4ihWtiOiF1eAak,Smallroom,85,85,-1,88
เป็นได้ทุกอย่าง,16214356,URBOYTJ,spotify:track:27qlKjzLoCOzltggfY8FPy,UrboyTJ,7,7,-1,94
เป็นไปได้ไหม,1233489,WanMai,spotify:track:6EZNUMSuukeCbvqz1YtNfm,White Bird Music,86,86,-1,4
เป็นไรไหม?,3491478,"OG-ANIC, LAZYLOXY",spotify:track:09Mn2O6dtMLCKdeD0BtLdO,Og-Anic,1,8,-1,60
เผลอหรือตั้งใจ,2107826,Ink Waruntorn,spotify:track:0mt8i1U8mZsptqKxEc4ScO,Viu Thailand x Boxx Music,22,22,-1,17
เผลอไป,5299292,Tattoo Colour,spotify:track:1UeqAsVFDiRxuzwN7lo4tI,Smallroom,64,64,-1,54
เผื่อวันไหนเธอจะกลับมา,27858869,guncharlie,spotify:track:43eS61ezviPc61XDu6tRYR,Kicks Records,9,9,-1,43
เผื่อว่าจะพบเธอสักวัน,2974189,The White Hair Cut,spotify:track:3Tzztaw6T9gtOsitE8A4dh,GMM Music Public Company Limited,34,34,-1,19
เพชรเต็มตัว,261683,"FIIXD, 1MILL, 19HUNNID",spotify:track:4hRHSindpiYDgSAjPpGRF7,1000 Chaser,80,80,-1,5
เพราะเธอ (My Everything),230362,"Earth Patravee, Jan Chan",spotify:track:77ElTw0uuZoLbE5RTly6Al,Move Records,68,68,-1,3
เพราะเธอนั้นเป็นเหมือนดั่งโลกทั้งใบ,726169,Dept,spotify:track:5W7rKNXaUZ6uyC85SlG2EF,Smallroom,66,66,-1,9
เพลงที่เธอไม่ฟัง,16280614,Bedroom Audio,spotify:track:6KRj0vz2JEk8Ykt1Q0KKZX,Tero Music,11,11,-1,41
เพลงที่เพิ่งเขียนจบ (OUR SONG) [เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES],239588,NANON,spotify:track:5vSNZkeesxul81fmuuZd2n,GMM Music Public Company Limited,80,80,-1,3
เพลงนี้ผมเขียนให้เธอ,5246798,Pondering,spotify:track:09beOtPEjTgYLXNzYFjfLU,Pondering,68,68,-1,37
เพลงรัก,5422037,Three Man Down,spotify:track:1THWgXia63L6sds6dIMlI9,GMM Music Public Company Limited,17,17,-1,13
เพลงรัก (Hook) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),3492194,GEMINI,spotify:track:3IPNXwdcnW8WSMvUPl66hI,GMM Music Public Company Limited,65,65,-1,19
เพลงรักเพลงแรก - Blooming,27043638,LANDOKMAI,spotify:track:79S6mQUxOs8ANRmJTS7agU,What The Duck,18,18,-1,73
เพลงรักในวันลา,27291848,Lower Mansion,spotify:track:5oC32WxxER4uaVwJo23RN9,Lower Mansion,24,24,-1,92
เพลงเธอเอง / Your melody,64305,Stamp,spotify:track:06aM8yKBaItuEi6jv1unEY,123Records,111,111,-1,1
เพลงไม่รัก,1572541,Bedroom Audio,spotify:track:7j1FQSpvcfAPAEYibr4Eka,BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,183,183,-1,9
เพียงเธอ,364004,Safeplanet,spotify:track:7aAk1WR34azj89ZZq19hLD,Safeplanet,132,132,-1,9
เพียงเธอ ( Always ),1514619,Safeplanet,spotify:track:79YugcEzo00SmZXLchKPnI,Safeplanet,117,117,-1,42
เพื่อน,8057980,Polycat,spotify:track:7xJowlJfrvuFbooVesjFm0,GMM Music Public Company Limited,4,4,-1,80
เพื่อนดีเด่น (BEST FRIEND 4EVER),3896374,SERIOUS BACON,spotify:track:0dB8mLoawZ04XoJRewGiqj,Boxx Music,79,79,-1,23
เพื่อนพระเอก,85218,Polycat,spotify:track:3oAsmJfKeZHuouJIxRwb1g,Smallroom,159,159,-1,2
เพื่อนรัก,508968,The Parkinson,spotify:track:4xkx6xqlEsGqzCX5HM1cF2,Spicy Disc,122,150,-1,52
เพื่อนเล่น,77109,"Gyeon, Cd Guntee",spotify:track:6g14Cl0JXfV1OdRCGyZktI,Gyeon,140,140,-1,3
เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly),34174973,"Tilly Birds, MILLI",spotify:track:3YN1Qgpgt5xVurl2mUFA4y,GMM Music Public Company Limited,1,1,-1,142
เพื่อนแท้,1656987,"Earn Piyada, The Gang",spotify:track:5IWMAHpNDXeKH0aZ0YHY70,GMM Music Public Company Limited,62,62,-1,20
เพื่อนไม่จริง,10667012,Polycat,spotify:track:05WHgjtWx32x40VmFkLnOd,Smallroom,52,52,-1,161
เมร่อน,3952757,"Juepak, จ๊ะ นงผณี, GUNNER",spotify:track:3KSS2LFdimgKRcs4ZamWyv,JUEPAK,18,18,-1,10
เมษา (MAYSA) feat. BLACKSHEEP,16294098,fellow fellow,spotify:track:3bxGTdVHjBjlSOjRDH9a4f,BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,21,21,-1,120
เมะ,25394531,THE TOYS,spotify:track:1M2XakpRDkxjiuCirVPD8c,What The Duck,1,1,-1,132
เมา (Drunk in Love),340401,Three Man Down,spotify:track:7i4J6fYvmIMZpB7q8rgdZJ,GMM Music Public Company Limited,113,113,-1,2
เมื่อคืน Feat. The Parkinson,10369147,Season Five,spotify:track:0OBPjif46Jbz7c4xIqiBEw,ME Records,10,10,-1,88
เมื่อคืนฉันฝันว่า,1677844,"2T FLOW, SNOOPO, HANXPOND",spotify:track:7gFhyOlGIO4d9yNxIS5ijn,2T FLOW,18,18,-1,17
เมื่อวานก็นานไป ( FEELS LIKE A YEAR ),176963,"JAYLERR, Ice Paris",spotify:track:7CMevIBfJ2EBxce5WPfldh,Nadao Music,98,98,-1,3
เรา,8218543,Cocktail,spotify:track:3CCcOP9IQHVQoYIFKuS5BP,GMM Music Public Company Limited,6,6,-1,75
เราได้เจอกันแล้ว,171058,TOR Saksit,spotify:track:2PgXjlj4LodqYtQVfjEdxe,BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,54,54,-1,2
เริ่มกลัว (Panic),359772,fellow fellow,spotify:track:2Yj5dr0jmeffibFgesioAF,Tero Music,173,173,-1,7
เริ่มก่อน (If I Could),2958227,PROXIE,spotify:track:31re0DMfO6aHU3FkCuJEoZ,Dreamers Society,69,69,-1,10
เริ่มต้นใหม่ (Alive) [feat. พงษ์สิทธิ์ คำภีร์],157973,"WANYAi, Pongsit Kampee",spotify:track:6lA7TQsr76b3vPkYpO2EiX,"HOLYFOX CO., LTD.",89,89,-1,2
เรื่องจริง,3503407,SIN,spotify:track:7N1mCWyLnYXfi3AXagJCNo,Sony Music Entertainment,83,83,-1,60
เรื่องราวความรักในตำนาน,15429985,"YOUNGOHM, GAVIN:D",spotify:track:4JVHa8eTUOEN0zS1zrA2j5,Already Deadd,74,74,-1,68
เรื่องราวที่เราเขียน,70338,"drg., spsalola",spotify:track:6IryMah2s58s7hifN2NLPH,DRG,196,196,-1,1
เรื่องเดียวที่ถูก (เพลงประกอบละคร ภาตุฆาต),42487,Ae Jirakorn,spotify:track:71fEqn284VvPPT3vjyZK49,GMM Music Public Company Limited,186,186,-1,1
เรื่องเมื่อคืน,1413079,SOYBAD,spotify:track:6l1DC6p0q0tGguuqMRDEGa,SADBOY RECORDS,51,51,-1,18
เรื่องแค่นี้,69843,URBOYTJ,spotify:track:7cQYN54DdllWUI7aloG5Ku,UrboyTJ,127,127,-1,1
เลิกคุยทั้งอำเภอเพื่อเธอคนเดียว,203761,ลิลลี่ ได้หมดถ้าสดชื่น Feat.เก้า เกริกพล,spotify:track:0XvWTq43VMIxNAsUZHV8Hb,ได้หมดถ้าสดชื่น,113,113,-1,7
เลิกพูด,59287,Maiyarap,spotify:track:1TP7e77dujSjfsVeajlKvi,Yupp! Entertainment,146,146,-1,1
เลี้ยงไข้,979178,"BOWKYLION, THE TOYS",spotify:track:2xv83TpufWS243tCZm5jx6,What The Duck,86,86,-1,5
เลือกคนที่เขารักเรา,12792526,Three Man Down,spotify:track:6IitkM7xiuKhDXzshXUnRa,GMM Music Public Company Limited,7,7,-1,76
เลือดกรุ๊ปบี,23410177,CHRRISSA,spotify:track:4CdW5KKyIjrpx6Hz981dUt,CHRRISSA,1,1,-1,47
เลือดพ่อแรง (feat. คุณพ่อดิเรก) [With คุณพ่อ],76419,"Maiyarap, คุณพ่อดิเรก",spotify:track:26Tog7ysmQSnEnp64mme2H,Yupp! Entertainment,155,155,-1,2
เล่นของสูง,10286195,Big Ass,spotify:track:72qkpImFQ25A2APz0Wto7L,GMM Music Public Company Limited,53,53,-1,43
เวทมนตร์,64874,"GTK, Pinpin",spotify:track:7xeNlwiwCzOO9k7lp0NnBA,Gtk,108,108,-1,2
เวลาเธอยิ้ม,48748999,Polycat,spotify:track:06DPpk0hUJEgpzl5cuWNI6,Smallroom,22,22,-1,321
เศษ (Remain) [feat. Earth Patravee],12273216,"tinn, Earth Patravee",spotify:track:5a7q0T5drisHQmCODwmePk,"HOLYFOX CO., LTD.",63,63,-1,66
เศษผม - OST. ENofLove กลรักรุ่นพี่,51057,Jay Phitiwat,spotify:track:52SmspgWrjX54KnySlNxjr,Prosper Record,176,176,-1,1
เสนอตัว (Ooh!),3201183,PP Krit,spotify:track:3LSVGHaeHEImPdNM3JUykE,PP Krit Entertainment,24,24,-1,8
เสียดายของ,13410300,Basher,spotify:track:2yDEfRpX5tRUcAo4VM0wFA,Music bugs,55,55,-1,63
เสียฟอร์มไม่แคร์เสียแกไม่ยอม,102320,"Wonderframe, MANR",spotify:track:3djdR2z30hThWNLee6MD2U,Unicorn Records,148,148,-1,2
เสี่ยว Feat. Na Polycat,2438551,Ammy The Bottom Blues,spotify:track:63eGghNk0tlCFqtjdE6aEq,ME Records,15,15,-1,23
เสือสิ้นลาย,5202627,"F.HERO, YOUNGOHM, P-Hot, FYMME",spotify:track:42pEFPN6KrUydf2ufdampZ,What The Duck,6,6,6,71
เสื้อตัวเล็ก (Chob Kub Khun),100582,BELL WARISARA,spotify:track:7jLdjsFuLefnYSkDYxfDu9,Home Run Music,103,103,-1,1
เสแสร้ง (Pretend),9904300,"Paper Planes, Moon",spotify:track:3imt8APLtyXVGsLZM362nA,GMM Music Public Company Limited,4,4,-1,48
เส้นบางๆ,26063843,Indigo,spotify:track:2qZQa0feL1j3hxFB3vJ15d,Move Records,15,15,-1,109
