youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
NCT 127 엔시티 127 '삐그덕 (Walk)' MV,SMTOWN,2024-07-15T09:00:15Z,11738927,449985,https://www.youtube.com/watch?v=MA_B8RU9BsQ,SMTOWN
Joji & Jackson Wang - Walking (feat. Swae Lee & Major Lazer),Major Lazer Official,2019-10-11T04:02:01Z,906095,30750,https://www.youtube.com/watch?v=DAWUMzRDyCA,Major Lazer Official
OneRepublic - Wanted (Official Music Video),OneRepublicVEVO,2019-09-06T04:00:12Z,67024669,398968,https://www.youtube.com/watch?v=N_qFfQ3xHCw,OneRepublicVEVO
keshi - War With Heaven [For Shang-Chi Album] (Official Audio),keshi,2021-09-17T04:00:04Z,3023202,54101,https://www.youtube.com/watch?v=9jdReDQre38,keshi
ONE OK ROCK: Wasted Nights [OFFICIAL VIDEO],ONE OK ROCK,2019-02-01T05:00:03Z,58003425,502887,https://www.youtube.com/watch?v=b4YLo74OWfY,ONE OK ROCK
Harry Styles - Watermelon Sugar (Official Video),HarryStylesVEVO,2020-05-18T16:00:11Z,393888288,6435434,https://www.youtube.com/watch?v=E07s5ZYygMg,HarryStylesVEVO
Fiji Blue - Waves (Lyric Video),Fiji Blue,2020-09-17T04:00:27Z,1587973,31217,https://www.youtube.com/watch?v=JCLPMoT8FRY,Fiji Blue
"강다니엘(KANGDANIEL) - Waves (Feat. SIMON DOMINIC, JAMIE) M/V",강다니엘 KANGDANIEL,2020-07-27T09:00:16Z,10506458,416842,https://www.youtube.com/watch?v=SlNTVljJf3g,강다니엘 KANGDANIEL
Way 2 Sexy,Drake - Topic,2021-09-04T03:06:42Z,1414496,18236,https://www.youtube.com/watch?v=CbRABU2Suts,Drake - Topic
Way Back Home,SHAUN - Topic,2018-06-26T15:01:07Z,129531013,626140,https://www.youtube.com/watch?v=1rP7ziPDDt0,SHAUN - Topic
Taylor Swift - We Are Never Ever Getting Back Together (Taylor's Version) (Lyric Video),TaylorSwiftVEVO,2021-11-12T05:00:22Z,22641243,421995,https://www.youtube.com/watch?v=zJFcr1KyFqE,TaylorSwiftVEVO
"We Don't Talk About Bruno (From ""Encanto"")",DisneyMusicVEVO,2021-12-29T05:00:27Z,613587693,4394658,https://www.youtube.com/watch?v=bvWRMAU6V-c,DisneyMusicVEVO
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],Charlie Puth,2016-08-02T20:00:26Z,3264618924,15115646,https://www.youtube.com/watch?v=3AtDnEC4zak,Charlie Puth
[2020 FESTA] BTS (방탄소년단) 'We are Bulletproof : the Eternal' MV #2020BTSFESTA,BANGTANTV,2020-06-11T15:00:01Z,114111060,6668733,https://www.youtube.com/watch?v=7UWBYJjuIL0,BANGTANTV
"[MV] 김뮤지엄(KIMMUSEUM) - We're Already (우린 이미) [알고있지만,(Nevertheless,) OST Part.1]",DOM 덤스튜디오,2021-06-19T12:00:30Z,3857347,52396,https://www.youtube.com/watch?v=_xY49O_iUJE,DOM 덤스튜디오
Dua Lipa - We're Good (Official Music Video),Dua Lipa,2021-02-12T05:00:13Z,103478951,1130101,https://www.youtube.com/watch?v=jr47YisIsz8,Dua Lipa
TAEYEON 태연 'Weekend' MV,SMTOWN,2021-07-06T09:00:09Z,46665953,974085,https://www.youtube.com/watch?v=RmuL-BPFi2Q,SMTOWN
aespa 에스파 'Welcome To MY World (Feat. nævis)' MV,SMTOWN,2023-05-02T09:00:01Z,24113634,629989,https://www.youtube.com/watch?v=0xdB_vo4r2c,SMTOWN
Jonas Brothers - What A Man Gotta Do (Official Video),JonasBrothersVEVO,2020-01-17T05:00:11Z,131114076,1611679,https://www.youtube.com/watch?v=XejVB_fba04,JonasBrothersVEVO
Why Don't We - What Am I [Official Video],Why Don't We,2019-08-23T04:00:12Z,34517987,576215,https://www.youtube.com/watch?v=ZxgbQz4n8-s,Why Don't We
TAEYEON 태연 'What Do I Call You' MV,SMTOWN,2020-12-15T09:00:07Z,17315615,612458,https://www.youtube.com/watch?v=5LbFdY6vGsQ,SMTOWN
Jonas Blue - What I Like About You (feat. Theresa Rex),GalaxyMusic,2019-03-28T14:08:45Z,377871,2985,https://www.youtube.com/watch?v=E7mnilPWFLM,GalaxyMusic
Ali Gatie - What If I Told You That I Love You [Official Music Video],Ali Gatie,2020-03-03T14:57:36Z,203499207,2454559,https://www.youtube.com/watch?v=NKzd_YiW9AQ,Ali Gatie
Doechii - What It Is (Solo Version) (Lyrics),Rap Samurai,2023-05-19T14:31:19Z,58921619,412244,https://www.youtube.com/watch?v=9xF9iQiS2Vs,Rap Samurai
"Billie Eilish - What Was I Made For? (From The Motion Picture ""Barbie"") [The Barbie Montage]",Billie Eilish,2024-02-06T17:00:14Z,13653049,206472,https://www.youtube.com/watch?v=ML0zd8UAuq8,Billie Eilish
POP SMOKE - WHAT YOU KNOW BOUT LOVE (Official Video),POP SMOKE,2020-12-22T20:00:09Z,132409051,1752582,https://www.youtube.com/watch?v=uuodbSVO3z0,POP SMOKE
