track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
Light It Up (with Tyga & Chris Brown),70537,"Marshmello, Tyga, Chris Brown",spotify:track:4Q8aDd3H6LF8t4eY7So9O8,Astralwerks,106,106,-1,2,lightitupwithtygachrisbrown
Life Is Good (feat. Drake),547988,"Future, Drake",spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Epic/Freebandz,70,70,-1,8,lifeisgoodfeatdrake
Like I'm Gonna Lose You (feat. John Legend),1489134,"Meghan Trainor, John Legend",spotify:track:2YlZnw2ikdb837oKMKjBkW,Epic,72,72,-1,23,likeimgonnaloseyoufeatjohnlegend
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,453879,Rihanna,spotify:track:6sCvvleqKbeyOkQDieBYgp,Roc Nation/Def Jam/Hollywood,56,56,-1,3,liftmeupfromblackpantherwakandaforevermusicfromandinspiredby
Money In The Grave (Drake ft. Rick Ross),171540,"Drake, Rick Ross",spotify:track:5ry2OE6R2zPQFDO85XkgRb,Republic Records,85,85,-1,4,moneyinthegravedrakeftrickross
Moth To A Flame (with The Weeknd),269628,"Swedish House Mafia, The Weeknd",spotify:track:2gpWyfu7eZ01zzncHpxOtA,Republic Records,74,74,-1,4,mothtoaflamewiththeweeknd
MONOPOLY (with Victoria Monét),162392,"Ariana Grande, Victoria Monét",spotify:track:6tsOcBnaKgzK22yEiqRh8P,Republic Records,43,43,-1,3,monopolywithvictoriamont
New thing (Prod. ZICO) (Feat. Homies),178591,"ZICO, HOMIES",spotify:track:5mdWIwsJAzR97ShGkt8gcR,Genie Music Corporation,141,141,-1,2,newthingprodzicofeathomies
Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,85786,"Lil Nas X, RM, BTS",spotify:track:6woeVu3fVMflqen1t4N6pg,Columbia,55,55,-1,1,oldtownroadfeatrmofbtsseoultownroadremix
"No New Friends (feat. Sia, Diplo, and Labrinth)",136755,"Sia, Diplo, Labrinth, LSD",spotify:track:6Dma0t0hOe6Bd6u5YRKF3n,Records/Columbia,109,109,-1,5,nonewfriendsfeatsiadiploandlabrinth
Nothing Breaks Like a Heart (feat. Miley Cyrus),146272,"Mark Ronson, Miley Cyrus",spotify:track:27rdGxbavYJeBphck5MZAF,Columbia,116,133,125,10,nothingbreakslikeaheartfeatmileycyrus
One Kiss (with Dua Lipa),625318,"Calvin Harris, Dua Lipa",spotify:track:7ef4DlsgrMEH11cDZd32M6,Sony Music UK,15,158,-1,31,onekisswithdualipa
"One Of The Girls (with JENNIE, Lily Rose Depp)",37275298,"The Weeknd, JENNIE, Lily-Rose Depp",spotify:track:1VNWdmXSbaNrnWod10WIL0,Universal Republic Records,10,10,-1,77,oneofthegirlswithjennielilyrosedepp
Potion (with Dua Lipa & Young Thug),136010,"Calvin Harris, Dua Lipa, Young Thug",spotify:track:7fYRg3CEbk6rNCuzNzMT06,Columbia,169,169,-1,2,potionwithdualipayoungthug
Promethazine - Hidden World Live Session,1123971,"Saran, BlackHeart, DIAMOND MQT",spotify:track:0DrbzBvi4h8HZBpmtJqq0J,SARAN,117,117,-1,4,promethazinehiddenworldlivesession
Peaches (feat. Daniel Caesar & Giveon),15356193,"Justin Bieber, Daniel Caesar, Giveon",spotify:track:4iJyoBOLtHqaGxP12qzhQI,RBMG/Def Jam,1,1,-1,85,peachesfeatdanielcaesargiveon
Pain 1993 (with Playboi Carti),51008,"Drake, Playboi Carti",spotify:track:6Kj17Afjo1OKJYpf5VzCeo,OVO,146,146,-1,1,pain1993withplayboicarti
Outta My Head (with John Mayer),452243,Khalid,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,"Right Hand Music Group, LLC/RCA Records",23,23,-1,7,outtamyheadwithjohnmayer
